identificaciones,nombre latino
trachymyrmexjamaicensis,Trachymyrmex jamaicensis
trichomyrmexdestructor,Trichomyrmex destructor
wasmanniaauropunctata,Wasmannia auropunctata
zataniadarlingtoni,Zatania darlingtoni
zataniagibberosa,Zatania gibberosa
reina(s),reina(s)
poridentificar,por identificar
strumigenyssp,Strumigenys sp.
nylanderiasp,Nylanderia sp.
hypoponerasp,Hypoponera sp.
rogeriasp,Rogeria sp.
cardiocondylamauritanica,Cardiocondyla mauritanica
acropygasp,Acropyga sp.
anochetussp,Anochetus sp.
aphaenogastersp,Aphaenogaster sp.
bothriomyrmexsp,Bothriomyrmex sp.
brachymyrmexsp,Brachymyrmex sp.
camponotussp,Camponotus sp.
cardiocondylasp,Cardiocondyla sp.
cephalotessp,Cephalotes sp.
crematogastersp,Crematogaster sp.
cylindromyrmexsp,Cylindromyrmex sp.
cyphomyrmexsp,Cyphomyrmex sp.
discothyreasp,Discothyrea sp.
dorymyrmexsp,Dorymyrmex sp.
eurhopalothrixsp,Eurhopalothrix sp.
fulakorasp,Fulakora sp.
gnamptogenyssp,Gnamptogenys sp.
leptogenyssp,Leptogenys sp.
linepithemasp,Linepithema sp.
monomoriumsp,Monomorium sp.
mycocepurussp,Mycocepurus sp.
myrmelachistasp,Myrmelachista sp.
odontomachussp,Odontomachus sp.
paratrechinasp,Paratrechina sp.
pheidolesp,Pheidole sp.
platythyreasp,Platythyrea sp.
pogonomyrmexsp,Pogonomyrmex sp.
proceratiumsp,Proceratium sp.
pseudomyrmexsp,Pseudomyrmex sp.
pseudoponerasp,Pseudoponera sp.
solenopsissp,Solenopsis sp.
sysciasp,Syscia sp.
tapinomasp,Tapinoma sp.
temnothoraxsp,Temnothorax sp.
tetramoriumsp,Tetramorium sp.
trachymyrmexsp,Trachymyrmex sp.
trichomyrmexsp,Trichomyrmex sp.
wasmanniasp,Wasmannia sp.
zataniasp,Zatania sp.
syllophopsissubcoeca,Syllophopsis subcoeca
syllophopsissp,Syllophopsis sp.
