codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
PN166M4,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:0dab6326-42fe-4baa-b082-60ecd6fcabed,10.26 am,-69.9165606871,18.459713611,0,0,Facultad de ciencias,1a5,6a9,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:0dab6326-42fe-4baa-b082-60ecd6fcabed,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:0b1a3b4d-f431-4660-aac8-00a3ef2f9d9e,2019-10-17,eagv,NULL,uuid:0b1a3b4d-f431-4660-aac8-00a3ef2f9d9e,solenopsissp
PN167M1,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:7d79e615-fb24-4831-aaa7-80529f65bedf,11.07 am,-69.9162938073,18.4598020219,0,0,Parqueo sur,0,0,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:7d79e615-fb24-4831-aaa7-80529f65bedf,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:40:31Z,2019-10-17T21:40:31Z,uuid:f36de337-95c7-48a1-a8cb-68ef51c8a2ce,2019-10-17,eagv,NULL,uuid:f36de337-95c7-48a1-a8cb-68ef51c8a2ce,solenopsissp
PN167M2,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:8de40194-49a4-486d-9b84-f04001025af8,11.10 am,-69.9161612894,18.4595152689,-21,1.5,Parqueo sur,1a5,0,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:8de40194-49a4-486d-9b84-f04001025af8,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:2aeb4995-2934-487c-ba9d-c6cc5dee241b,2019-10-17,eagv,NULL,uuid:2aeb4995-2934-487c-ba9d-c6cc5dee241b,solenopsissp
PN167M3,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:6a0d8be7-23a2-47f5-9b43-143ec1ec0ce0,11.15 am,-69.9161640555,18.459524386,0,0,Parqueo sur,1a5,0,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:6a0d8be7-23a2-47f5-9b43-143ec1ec0ce0,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:b68b506b-7410-411e-9be8-d72ae804ff20,2019-10-17,eagv,NULL,uuid:b68b506b-7410-411e-9be8-d72ae804ff20,monomoriumsp
PN151M1,p151,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:14Z,2019-10-15T18:29:14Z,uuid:fd667ace-a770-42c7-9418-ce2480ec2485,12.00 am,-69.91681315,18.4599737552,0,0,Cafetería de la entrada sur,1a5,0,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:fd667ace-a770-42c7-9418-ce2480ec2485,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:7de5905f-bb29-4467-bdc2-a464d5ca04e2,2019-10-17,eagv,NULL,uuid:7de5905f-bb29-4467-bdc2-a464d5ca04e2,paratrechinasp
PN77M1,p77,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:14Z,2019-10-15T18:29:14Z,uuid:f89e30b7-79cc-42cc-8257-d54a8d9bdc5f,12.46 pm,-69.9161593616,18.4616945773,0,0,Facultad de arquitectura,10omas,0,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:f89e30b7-79cc-42cc-8257-d54a8d9bdc5f,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:b05010be-0ea9-4a1f-b939-82cd7651ed73,2019-10-17,eagv,NULL,uuid:b05010be-0ea9-4a1f-b939-82cd7651ed73,solenopsissp
PN86M1,p86,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:14Z,2019-10-15T18:29:14Z,uuid:2933f009-4001-4ae0-98db-8aa27da63a00,10.08 am,-69.9190279841,18.4612941183,-15,5,Biblioteca,6a9,0,1a5,2019-10-14T00:00:00Z,NULL,NULL,NULL,uuid:2933f009-4001-4ae0-98db-8aa27da63a00,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:27:51Z,2019-10-17T21:27:51Z,uuid:46845763-85ed-4f0a-b963-4d8bb4515a64,2019-10-17,eagv,NULL,uuid:46845763-85ed-4f0a-b963-4d8bb4515a64,solenopsissp
PN151M2,p151,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:a4d04949-6075-4930-9386-9a999b2b3abf,12.02 pm,-69.9165638722,18.4600082086,-26,8.5,Cafetería entrada del sur,1a5,0,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:a4d04949-6075-4930-9386-9a999b2b3abf,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:18Z,2019-10-17T21:24:18Z,uuid:073ea94d-4812-485c-b346-842e80f1f106,2019-10-17,eagv,NULL,uuid:073ea94d-4812-485c-b346-842e80f1f106,paratrechinasp
NA,p68,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,p81,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,p109,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,p159,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,p170,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
