codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones,tipo,riqueza
PN166M2,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:12Z,2019-10-15T18:29:12Z,uuid:1c48cd4a-78dc-4991-ac74-4ed7641b1557,10.14 am,-69.9166522175,18.4596182034,0,0,Facultad de ciencias,1a5,1a5,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:1c48cd4a-78dc-4991-ac74-4ed7641b1557,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:6d132bf2-eaf8-4d94-8f82-cd3836858dbd,2019-10-17,eagv,NULL,uuid:6d132bf2-eaf8-4d94-8f82-cd3836858dbd,solenopsissp,edificación erguida,1
PN166M3,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:16bebb9e-e3e4-4397-9c57-5e2e5ab309b7,10.16 am,-69.9166451767,18.4596159773,0,0,Facultad de ciencias,1a5,1a5,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:16bebb9e-e3e4-4397-9c57-5e2e5ab309b7,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:f2a74eeb-8a5d-4a0e-b81a-ad8d77cbb23a,2019-10-17,eagv,NULL,uuid:f2a74eeb-8a5d-4a0e-b81a-ad8d77cbb23a,solenopsissp,edificación erguida,1
PN166M4,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:0dab6326-42fe-4baa-b082-60ecd6fcabed,10.26 am,-69.9165606871,18.459713611,0,0,Facultad de ciencias,1a5,6a9,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:0dab6326-42fe-4baa-b082-60ecd6fcabed,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:0b1a3b4d-f431-4660-aac8-00a3ef2f9d9e,2019-10-17,eagv,NULL,uuid:0b1a3b4d-f431-4660-aac8-00a3ef2f9d9e,solenopsissp,edificación erguida,1
PN167M1,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:7d79e615-fb24-4831-aaa7-80529f65bedf,11.07 am,-69.9162938073,18.4598020219,0,0,Parqueo sur,no hay a la vista,no hay a la vista,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:7d79e615-fb24-4831-aaa7-80529f65bedf,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:40:31Z,2019-10-17T21:40:31Z,uuid:f36de337-95c7-48a1-a8cb-68ef51c8a2ce,2019-10-17,eagv,NULL,uuid:f36de337-95c7-48a1-a8cb-68ef51c8a2ce,solenopsissp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
PN167M2,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:8de40194-49a4-486d-9b84-f04001025af8,11.10 am,-69.9161612894,18.4595152689,-21,1.5,Parqueo sur,1a5,no hay a la vista,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:8de40194-49a4-486d-9b84-f04001025af8,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:2aeb4995-2934-487c-ba9d-c6cc5dee241b,2019-10-17,eagv,NULL,uuid:2aeb4995-2934-487c-ba9d-c6cc5dee241b,solenopsissp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
PN167M3,p167,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:6a0d8be7-23a2-47f5-9b43-143ec1ec0ce0,11.15 am,-69.9161640555,18.459524386,0,0,Parqueo sur,1a5,no hay a la vista,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:6a0d8be7-23a2-47f5-9b43-143ec1ec0ce0,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:b68b506b-7410-411e-9be8-d72ae804ff20,2019-10-17,eagv,NULL,uuid:b68b506b-7410-411e-9be8-d72ae804ff20,monomoriumsp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
PN151M1,p151,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:14Z,2019-10-15T18:29:14Z,uuid:fd667ace-a770-42c7-9418-ce2480ec2485,12.00 am,-69.91681315,18.4599737552,0,0,Cafetería de la entrada sur,1a5,no hay a la vista,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:fd667ace-a770-42c7-9418-ce2480ec2485,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:7de5905f-bb29-4467-bdc2-a464d5ca04e2,2019-10-17,eagv,NULL,uuid:7de5905f-bb29-4467-bdc2-a464d5ca04e2,paratrechinasp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
PN77M1,p77,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:14Z,2019-10-15T18:29:14Z,uuid:f89e30b7-79cc-42cc-8257-d54a8d9bdc5f,12.46 pm,-69.9161593616,18.4616945773,0,0,Facultad de arquitectura,10omas,no hay a la vista,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:f89e30b7-79cc-42cc-8257-d54a8d9bdc5f,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:b05010be-0ea9-4a1f-b939-82cd7651ed73,2019-10-17,eagv,NULL,uuid:b05010be-0ea9-4a1f-b939-82cd7651ed73,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
PN86M1,p86,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:14Z,2019-10-15T18:29:14Z,uuid:2933f009-4001-4ae0-98db-8aa27da63a00,10.08 am,-69.9190279841,18.4612941183,-15,5,Biblioteca,6a9,no hay a la vista,1a5,2019-10-14T00:00:00Z,NULL,NULL,NULL,uuid:2933f009-4001-4ae0-98db-8aa27da63a00,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:27:51Z,2019-10-17T21:27:51Z,uuid:46845763-85ed-4f0a-b963-4d8bb4515a64,2019-10-17,eagv,NULL,uuid:46845763-85ed-4f0a-b963-4d8bb4515a64,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
PN151M2,p151,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:a4d04949-6075-4930-9386-9a999b2b3abf,12.02 pm,-69.9165638722,18.4600082086,-26,8.5,Cafetería entrada del sur,1a5,no hay a la vista,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:a4d04949-6075-4930-9386-9a999b2b3abf,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:18Z,2019-10-17T21:24:18Z,uuid:073ea94d-4812-485c-b346-842e80f1f106,2019-10-17,eagv,NULL,uuid:073ea94d-4812-485c-b346-842e80f1f106,paratrechinasp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
NA,p68,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,edificación erguida,NA
NA,p81,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suelo, herbáceas, no edificado ni cubierto",NA
NA,p109,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dosel,NA
NA,p159,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suelo, herbáceas, no edificado ni cubierto",NA
NA,p170,uid:enrique193|2019-08-27T17:32:44.132698Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No se reportaron nidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suelo, herbáceas, no edificado ni cubierto",NA
NA,p106,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:22Z,2019-09-30T17:14:22Z,uuid:da95c62d-7bf9-4dbf-863f-3f301b308755,11.24 am,-69.9197613169,18.4611429507,-17,2.5,Economia,10omas,1a5,1a5,2019-09-28T00:00:00Z,NULL,No se reportaron nidos,Palma,uuid:da95c62d-7bf9-4dbf-863f-3f301b308755,kmfg,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pavimentado, acerado (bordes edificios, bancos, postes)",NA
20190928k2.1,p157,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:40Z,2019-09-30T17:14:40Z,uuid:8deba8ed-5afd-4769-a46f-49c2336c5e27,3.00 pm,-69.9209216237,18.4597488306,-6,3.5,Parqueo de la torre administrativa por la puerta,10omas,1a5,6a9,2019-09-28T00:00:00Z,Bidelkis,NULL,Palma,uuid:8deba8ed-5afd-4769-a46f-49c2336c5e27,"kmfg,otras",uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-11-02T22:10:07Z,2019-11-02T22:10:07Z,uuid:352513f6-a40b-48ca-b7a4-e9fb3b7aea2f,2019-10-18,kmfg,NULL,uuid:352513f6-a40b-48ca-b7a4-e9fb3b7aea2f,dorymyrmexsp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
20191013k3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:58Z,2019-09-30T17:14:58Z,uuid:a4850976-70bc-4052-a457-d83df9b54f83,4.45 pm,-69.9202723615,18.4603853943,2,9.5,NULL,10omas,no hay a la vista,1a5,2019-09-28T00:00:00Z,NULL,NULL,Frambollan,uuid:a4850976-70bc-4052-a457-d83df9b54f83,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:07:41Z,2019-10-31T15:07:41Z,uuid:4119dfa0-e30d-4828-888b-f7ed187588dd,2019-10-16,kmfg,NULL,uuid:4119dfa0-e30d-4828-888b-f7ed187588dd,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
20190928k3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:58Z,2019-09-30T17:14:58Z,uuid:a4850976-70bc-4052-a457-d83df9b54f83,4.45 pm,-69.9202723615,18.4603853943,2,9.5,NULL,10omas,no hay a la vista,1a5,2019-09-28T00:00:00Z,NULL,NULL,Frambollan,uuid:a4850976-70bc-4052-a457-d83df9b54f83,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:07:41Z,2019-10-31T15:07:41Z,uuid:87945b65-c5ed-461c-9bdf-9377c01e1e06,2019-10-16,kmfg,NULL,uuid:87945b65-c5ed-461c-9bdf-9377c01e1e06,brachymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
20191012k4,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:19Z,2019-10-13T03:50:19Z,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,12.32 pm,-69.9141315278,18.4623827599,-22,2,Cancha de futbol,10omas,no hay a la vista,1a5,2019-10-12T00:00:00Z,NULL,Tres nidos,No sé,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:936c79d7-6164-4fd4-8076-db7cdf6dc3cb,2019-10-16,kmfg,NULL,uuid:936c79d7-6164-4fd4-8076-db7cdf6dc3cb,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
20191012k4.2,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:19Z,2019-10-13T03:50:19Z,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,12.32 pm,-69.9141315278,18.4623827599,-22,2,Cancha de futbol,10omas,no hay a la vista,1a5,2019-10-12T00:00:00Z,NULL,Tres nidos,No sé,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:2c0b3cef-fb22-4b24-8b4d-12906cb75fdc,2019-10-18,kmfg,NULL,uuid:2c0b3cef-fb22-4b24-8b4d-12906cb75fdc,dorymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
20191012k4.1,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:19Z,2019-10-13T03:50:19Z,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,12.32 pm,-69.9141315278,18.4623827599,-22,2,Cancha de futbol,10omas,no hay a la vista,1a5,2019-10-12T00:00:00Z,NULL,Tres nidos,No sé,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:22f23020-4745-47ee-84f5-b79ebe97fa15,2019-10-18,kmfg,NULL,uuid:22f23020-4745-47ee-84f5-b79ebe97fa15,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
20191013k7.1,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:32Z,2019-10-13T03:50:32Z,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,3.50 pm,-69.9193868972,18.4586417908,-26,4,Transportacion,10omas,1a5,10omas,2019-10-12T00:00:00Z,NULL,Hoyo septico descubierto,Mango,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:54:08Z,2019-10-31T14:54:08Z,uuid:3cf256c4-be3f-4e39-adce-f43d32f8d9fa,2019-10-18,kmfg,NULL,uuid:3cf256c4-be3f-4e39-adce-f43d32f8d9fa,brachymyrmexsp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
20191013k7,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:32Z,2019-10-13T03:50:32Z,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,3.50 pm,-69.9193868972,18.4586417908,-26,4,Transportacion,10omas,1a5,10omas,2019-10-12T00:00:00Z,NULL,Hoyo septico descubierto,Mango,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:54:08Z,2019-10-31T14:54:08Z,uuid:d2315b6c-c3ed-442d-891c-912a76474545,2019-10-18,kmfg,NULL,uuid:d2315b6c-c3ed-442d-891c-912a76474545,dorymyrmexsp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
20191012k5,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:32Z,2019-10-13T03:50:32Z,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,3.50 pm,-69.9193868972,18.4586417908,-26,4,Transportacion,10omas,1a5,10omas,2019-10-12T00:00:00Z,NULL,Hoyo septico descubierto,Mango,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:02:44Z,2019-10-31T15:02:44Z,uuid:de761dc2-d945-4c75-8bcc-ec5be16d2571,2019-10-24,kmfg,NULL,uuid:de761dc2-d945-4c75-8bcc-ec5be16d2571,solenopsissp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
20191012k6,p168,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:47Z,2019-10-13T03:50:47Z,uuid:875b3d06-649b-44ba-b5a5-5ee2be21f577,4.10 pm,-69.92070009,18.4591774782,-26,6,Parqueo uasd,6a9,no hay a la vista,1a5,2019-10-12T00:00:00Z,NULL,NULL,Frambollan,uuid:875b3d06-649b-44ba-b5a5-5ee2be21f577,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:39Z,2019-10-31T15:08:39Z,uuid:1e421bbd-c37e-43f8-9e72-60c341c81322,2019-10-24,kmfg,NULL,uuid:1e421bbd-c37e-43f8-9e72-60c341c81322,dorymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
20191012k5.1,p160,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-14T15:30:35Z,2019-10-14T15:30:35Z,uuid:b6b8b571-dd6a-40ec-9c33-335201a4cdd9,4.40 pm,-69.9194372725,18.4596921271,-24,2.5,Aula Magna,1a5,no hay a la vista,1a5,2019-10-13T00:00:00Z,NULL,Nada,"Palma, coralillo",uuid:b6b8b571-dd6a-40ec-9c33-335201a4cdd9,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:02:44Z,2019-10-31T15:02:44Z,uuid:454ae767-1a39-42c3-85fb-1d1a06adbc15,2019-10-18,kmfg,NULL,uuid:454ae767-1a39-42c3-85fb-1d1a06adbc15,"brachymyrmexsp,dorymyrmexsp,pheidolejamaicensis,pseudomyrmexsp,solenopsissp","suelo, herbáceas, no edificado ni cubierto",5
20191013k8,p131,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-14T15:30:36Z,2019-10-14T15:30:36Z,uuid:0343f344-b394-462a-9a73-cba34be66fab,6.03 pm,-69.9176745582,18.460433674,-20,2,Parqueo economato,1a5,no hay a la vista,1a5,2019-10-13T00:00:00Z,NULL,Volver se puso oscuro,"Palma, coralillo",uuid:0343f344-b394-462a-9a73-cba34be66fab,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:39Z,2019-10-31T15:08:39Z,uuid:8325e6a1-5352-4da2-88f7-1514622db378,2019-10-24,kmfg,NULL,uuid:8325e6a1-5352-4da2-88f7-1514622db378,"brachymyrmexsp,monomoriumsp","pavimentado, acerado (bordes edificios, bancos, postes)",2
20191410k9.2,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,no hay a la vista,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:26:54Z,2019-10-31T14:26:54Z,uuid:44154a6c-5daf-48ee-a56c-2f555cbfe5c2,2019-10-18,kmfg,NULL,uuid:44154a6c-5daf-48ee-a56c-2f555cbfe5c2,"dorymyrmexsp,pheidolesp","pavimentado, acerado (bordes edificios, bancos, postes)",2
20191014k9,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,no hay a la vista,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:38Z,2019-10-31T15:08:38Z,uuid:b9c51b36-6d19-4299-a380-387c82e95b95,2019-10-18,kmfg,NULL,uuid:b9c51b36-6d19-4299-a380-387c82e95b95,dorymyrmexsp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
20191014k9.1,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,no hay a la vista,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:38Z,2019-10-31T15:08:38Z,uuid:f9cc1dd4-2fbc-4b08-829d-1452fd815c73,2019-10-18,kmfg,NULL,uuid:f9cc1dd4-2fbc-4b08-829d-1452fd815c73,cardiocondylasp,"pavimentado, acerado (bordes edificios, bancos, postes)",1
20191014k9.3,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,no hay a la vista,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:38Z,2019-10-31T15:08:38Z,uuid:ce0eda19-57d2-443d-8a8f-648a0a459304,2019-10-18,kmfg,NULL,uuid:ce0eda19-57d2-443d-8a8f-648a0a459304,"brachymyrmexheeri,cardiocondylasp","pavimentado, acerado (bordes edificios, bancos, postes)",2
20191410k10,p25,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:42:06Z,2019-10-15T00:42:06Z,uuid:1d5a55db-c514-4cd6-a9e1-9b0bfae15cc4,4.35 pm,-69.9155818485,18.463316462,-20,5,Area del play,no hay a la vista,no hay a la vista,1a5,2019-10-14T00:00:00Z,NULL,"Volver, se puso oscuro.",Palmas,uuid:1d5a55db-c514-4cd6-a9e1-9b0bfae15cc4,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:39Z,2019-10-31T15:08:39Z,uuid:2476d78c-42dc-429b-9334-1f3d2c314c5b,2019-10-24,kmfg,NULL,uuid:2476d78c-42dc-429b-9334-1f3d2c314c5b,dorymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
20191410k11.1,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,no hay a la vista,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:13Z,2019-10-31T14:51:13Z,uuid:5333ff5a-2227-4783-bb7f-e3107c82ac84,2019-10-31,kmfg,NULL,uuid:5333ff5a-2227-4783-bb7f-e3107c82ac84,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
20191410k11.2,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,no hay a la vista,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:14Z,2019-10-31T14:51:14Z,uuid:98cf39c6-ba65-4339-b9d2-14842d883fbf,2019-10-31,kmfg,NULL,uuid:98cf39c6-ba65-4339-b9d2-14842d883fbf,brachymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
20191410k11.3,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,no hay a la vista,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:14Z,2019-10-31T14:51:14Z,uuid:d38d1de6-775a-4f34-a1bb-4f86f28fbe65,2019-10-31,kmfg,NULL,uuid:d38d1de6-775a-4f34-a1bb-4f86f28fbe65,brachymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
20191410k11.4,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,no hay a la vista,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:14Z,2019-10-31T14:51:14Z,uuid:6c3e5d6d-7396-45f6-899a-1bf7444e9711,2019-10-31,kmfg,NULL,uuid:6c3e5d6d-7396-45f6-899a-1bf7444e9711,dorymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
20191410k11.5,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,no hay a la vista,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:14Z,2019-10-31T14:51:14Z,uuid:f4d1274f-09cb-4d14-a271-a1e1c33abc23,2019-10-31,kmfg,NULL,uuid:f4d1274f-09cb-4d14-a271-a1e1c33abc23,dorymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
