codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
20191012k6,p168,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:47Z,2019-10-13T03:50:47Z,uuid:875b3d06-649b-44ba-b5a5-5ee2be21f577,4.10 pm,-69.92070009,18.4591774782,-26,6,Parqueo uasd,6a9,0,1a5,2019-10-12T00:00:00Z,NULL,NULL,Frambollan,uuid:875b3d06-649b-44ba-b5a5-5ee2be21f577,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:39Z,2019-10-31T15:08:39Z,uuid:1e421bbd-c37e-43f8-9e72-60c341c81322,2019-10-24,kmfg,NULL,uuid:1e421bbd-c37e-43f8-9e72-60c341c81322,dorymyrmexsp
20191012k5.1,p160,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-14T15:30:35Z,2019-10-14T15:30:35Z,uuid:b6b8b571-dd6a-40ec-9c33-335201a4cdd9,4.40 pm,-69.9194372725,18.4596921271,-24,2.5,Aula Magna,1a5,0,1a5,2019-10-13T00:00:00Z,NULL,Nada,"Palma, coralillo",uuid:b6b8b571-dd6a-40ec-9c33-335201a4cdd9,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:02:44Z,2019-10-31T15:02:44Z,uuid:454ae767-1a39-42c3-85fb-1d1a06adbc15,2019-10-18,kmfg,NULL,uuid:454ae767-1a39-42c3-85fb-1d1a06adbc15,"brachymyrmexsp,dorymyrmexsp,pheidolejamaicensis,pseudomyrmexsp,solenopsissp"
20191013k8,p131,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-14T15:30:36Z,2019-10-14T15:30:36Z,uuid:0343f344-b394-462a-9a73-cba34be66fab,6.03 pm,-69.9176745582,18.460433674,-20,2,Parqueo economato,1a5,0,1a5,2019-10-13T00:00:00Z,NULL,Volver se puso oscuro,"Palma, coralillo",uuid:0343f344-b394-462a-9a73-cba34be66fab,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:39Z,2019-10-31T15:08:39Z,uuid:8325e6a1-5352-4da2-88f7-1514622db378,2019-10-24,kmfg,NULL,uuid:8325e6a1-5352-4da2-88f7-1514622db378,"brachymyrmexsp,monomoriumsp"
20191410k9.2,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,0,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:26:54Z,2019-10-31T14:26:54Z,uuid:44154a6c-5daf-48ee-a56c-2f555cbfe5c2,2019-10-18,kmfg,NULL,uuid:44154a6c-5daf-48ee-a56c-2f555cbfe5c2,"dorymyrmexsp,pheidolesp"
20191014k9,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,0,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:38Z,2019-10-31T15:08:38Z,uuid:b9c51b36-6d19-4299-a380-387c82e95b95,2019-10-18,kmfg,NULL,uuid:b9c51b36-6d19-4299-a380-387c82e95b95,dorymyrmexsp
20191014k9.1,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,0,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:38Z,2019-10-31T15:08:38Z,uuid:f9cc1dd4-2fbc-4b08-829d-1452fd815c73,2019-10-18,kmfg,NULL,uuid:f9cc1dd4-2fbc-4b08-829d-1452fd815c73,cardiocondylasp
20191014k9.3,p78,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:41:49Z,2019-10-15T00:41:49Z,uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,2.37 pm,-69.9156901427,18.4617381496,-24,3,Facutad de Ingeniería,1a5,0,1a5,2019-10-14T00:00:00Z,NULL,Ninguna,"Framboyán, caoba, otros",uuid:a305c30f-98c3-4ad2-b8cc-0eb2d086661b,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:38Z,2019-10-31T15:08:38Z,uuid:ce0eda19-57d2-443d-8a8f-648a0a459304,2019-10-18,kmfg,NULL,uuid:ce0eda19-57d2-443d-8a8f-648a0a459304,"brachymyrmexheeri,cardiocondylasp"
20191410k10,p25,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-15T00:42:06Z,2019-10-15T00:42:06Z,uuid:1d5a55db-c514-4cd6-a9e1-9b0bfae15cc4,4.35 pm,-69.9155818485,18.463316462,-20,5,Area del play,0,0,1a5,2019-10-14T00:00:00Z,NULL,"Volver, se puso oscuro.",Palmas,uuid:1d5a55db-c514-4cd6-a9e1-9b0bfae15cc4,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:39Z,2019-10-31T15:08:39Z,uuid:2476d78c-42dc-429b-9334-1f3d2c314c5b,2019-10-24,kmfg,NULL,uuid:2476d78c-42dc-429b-9334-1f3d2c314c5b,dorymyrmexsp
20191410k11.1,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:13Z,2019-10-31T14:51:13Z,uuid:5333ff5a-2227-4783-bb7f-e3107c82ac84,2019-10-31,kmfg,NULL,uuid:5333ff5a-2227-4783-bb7f-e3107c82ac84,solenopsissp
20191410k11.2,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:14Z,2019-10-31T14:51:14Z,uuid:98cf39c6-ba65-4339-b9d2-14842d883fbf,2019-10-31,kmfg,NULL,uuid:98cf39c6-ba65-4339-b9d2-14842d883fbf,brachymyrmexsp
20191410k11.3,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:14Z,2019-10-31T14:51:14Z,uuid:d38d1de6-775a-4f34-a1bb-4f86f28fbe65,2019-10-31,kmfg,NULL,uuid:d38d1de6-775a-4f34-a1bb-4f86f28fbe65,brachymyrmexsp
20191410k11.4,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:14Z,2019-10-31T14:51:14Z,uuid:6c3e5d6d-7396-45f6-899a-1bf7444e9711,2019-10-31,kmfg,NULL,uuid:6c3e5d6d-7396-45f6-899a-1bf7444e9711,dorymyrmexsp
20191410k11.5,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:14Z,2019-10-31T14:51:14Z,uuid:f4d1274f-09cb-4d14-a271-a1e1c33abc23,2019-10-31,kmfg,NULL,uuid:f4d1274f-09cb-4d14-a271-a1e1c33abc23,dorymyrmexsp
20191410k11.6,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:15Z,2019-10-31T14:51:15Z,uuid:1775291a-4d2f-4e84-82b7-6f4d3e28dfe8,2019-10-31,kmfg,NULL,uuid:1775291a-4d2f-4e84-82b7-6f4d3e28dfe8,solenopsissp
20191410k11.7,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:51:15Z,2019-10-31T14:51:15Z,uuid:28a318fb-93e1-4b20-9b9f-55c5f4e1453c,2019-10-31,kmfg,NULL,uuid:28a318fb-93e1-4b20-9b9f-55c5f4e1453c,brachymyrmexsp
20191410k11,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T13:58:29Z,2019-10-31T13:58:28Z,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,5.15 pm,-69.914088361,18.4641249804,-16,2.5,Area del play,1a5,0,1a5,2019-10-26T00:00:00Z,NULL,"Muchos nidos sin nada, varios nidos en el mismo pote",Mango,uuid:65837af3-5768-4370-aef8-0a3ec9723bc2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:08:39Z,2019-10-31T15:08:39Z,uuid:8d8679b6-66cc-4c1a-8ed4-e10bd3c42c10,2019-10-31,kmfg,NULL,uuid:8d8679b6-66cc-4c1a-8ed4-e10bd3c42c10,"dorymyrmexsp,solenopsissp"
